Task ID: 1, Assigned to Server: 1, Server Current Utilization: 0.0612815
Task ID: 419, Assigned to Server: 1, Server Current Utilization: 0.853503
Task ID: 420, Assigned to Server: 1, Server Current Utilization: 0.952895
Task ID: 421, Assigned to Server: 1, Server Current Utilization: 1.02518
Task ID: 422, Assigned to Server: 2, Server Current Utilization: 0.610934
Task ID: 423, Assigned to Server: 2, Server Current Utilization: 0.692142
Task ID: 424, Assigned to Server: 2, Server Current Utilization: 0.827683
Task ID: 425, Assigned to Server: 1, Server Current Utilization: 0.386813
Task ID: 426, Assigned to Server: 1, Server Current Utilization: 0.539983
Task ID: 427, Assigned to Server: 1, Server Current Utilization: 0.935498
Task ID: 428, Assigned to Server: 2, Server Current Utilization: 0.747129
Task ID: 429, Assigned to Server: 2, Server Current Utilization: 0.623804
Task ID: 430, Assigned to Server: 2, Server Current Utilization: 0.691029
Task ID: 431, Assigned to Server: 2, Server Current Utilization: 0.826343
Task ID: 432, Assigned to Server: 3, Server Current Utilization: 0.861953
Task ID: 433, Assigned to Server: 2, Server Current Utilization: 0.839836
Task ID: 434, Assigned to Server: 2, Server Current Utilization: 0.923499
Task ID: 435, Assigned to Server: 1, Server Current Utilization: 0.77541
Task ID: 436, Assigned to Server: 1, Server Current Utilization: 0.973753
Task ID: 437, Assigned to Server: 3, Server Current Utilization: 0.827113
Task ID: 438, Assigned to Server: 3, Server Current Utilization: 0.862028
Task ID: 439, Assigned to Server: 3, Server Current Utilization: 0.870693
Task ID: 440, Assigned to Server: 3, Server Current Utilization: 1.00366
Task ID: 441, Assigned to Server: 2, Server Current Utilization: 0.951338
Task ID: 442, Assigned to Server: 1, Server Current Utilization: 1.1432
Task ID: 443, Assigned to Server: 2, Server Current Utilization: 0.927832
Task ID: 444, Assigned to Server: 2, Server Current Utilization: 1.05674
Task ID: 445, Assigned to Server: 3, Server Current Utilization: 0.957258
Task ID: 446, Assigned to Server: 3, Server Current Utilization: 1.03632
Task ID: 448, Assigned to Server: 2, Server Current Utilization: 0.865727
Task ID: 449, Assigned to Server: 2, Server Current Utilization: 1.00083
Task ID: 450, Assigned to Server: 1, Server Current Utilization: 1.05595
Task ID: 452, Assigned to Server: 3, Server Current Utilization: 0.96782
Task ID: 453, Assigned to Server: 3, Server Current Utilization: 1.06266
Task ID: 455, Assigned to Server: 2, Server Current Utilization: 0.884623
Task ID: 456, Assigned to Server: 2, Server Current Utilization: 0.925255
Task ID: 457, Assigned to Server: 2, Server Current Utilization: 0.969919
Task ID: 458, Assigned to Server: 1, Server Current Utilization: 0.683348
Task ID: 459, Assigned to Server: 1, Server Current Utilization: 0.825196
Task ID: 460, Assigned to Server: 1, Server Current Utilization: 1.36027
Task ID: 461, Assigned to Server: 2, Server Current Utilization: 0.755931
Task ID: 462, Assigned to Server: 2, Server Current Utilization: 0.804737
Task ID: 463, Assigned to Server: 2, Server Current Utilization: 0.889142
Task ID: 464, Assigned to Server: 3, Server Current Utilization: 0.77993
Task ID: 465, Assigned to Server: 3, Server Current Utilization: 0.763107
Task ID: 466, Assigned to Server: 3, Server Current Utilization: 0.799858
Task ID: 467, Assigned to Server: 3, Server Current Utilization: 0.828827
Task ID: 468, Assigned to Server: 1, Server Current Utilization: 0.61152
Task ID: 469, Assigned to Server: 1, Server Current Utilization: 0.745961
Task ID: 470, Assigned to Server: 1, Server Current Utilization: 0.869337
Task ID: 471, Assigned to Server: 3, Server Current Utilization: 0.723949
Task ID: 472, Assigned to Server: 2, Server Current Utilization: 0.77963
Task ID: 473, Assigned to Server: 3, Server Current Utilization: 0.916496
Task ID: 474, Assigned to Server: 2, Server Current Utilization: 0.928859
Task ID: 475, Assigned to Server: 1, Server Current Utilization: 0.307891
Task ID: 476, Assigned to Server: 1, Server Current Utilization: 0.428079
Task ID: 477, Assigned to Server: 1, Server Current Utilization: 0.517703
Task ID: 478, Assigned to Server: 1, Server Current Utilization: 0.446488
Task ID: 479, Assigned to Server: 1, Server Current Utilization: 0.522896
Task ID: 480, Assigned to Server: 1, Server Current Utilization: 0.740463
Task ID: 481, Assigned to Server: 1, Server Current Utilization: 0.740492
Task ID: 482, Assigned to Server: 1, Server Current Utilization: 1.0053
Task ID: 483, Assigned to Server: 2, Server Current Utilization: 0.673383
Task ID: 484, Assigned to Server: 2, Server Current Utilization: 0.696134
Task ID: 485, Assigned to Server: 2, Server Current Utilization: 0.848377
Task ID: 486, Assigned to Server: 3, Server Current Utilization: 0.693234
Task ID: 487, Assigned to Server: 3, Server Current Utilization: 0.779028
Task ID: 488, Assigned to Server: 3, Server Current Utilization: 0.758514
Task ID: 489, Assigned to Server: 3, Server Current Utilization: 0.784382
Task ID: 490, Assigned to Server: 3, Server Current Utilization: 0.862098
Task ID: 491, Assigned to Server: 2, Server Current Utilization: 0.942755
Task ID: 492, Assigned to Server: 1, Server Current Utilization: 0.861079
Task ID: 493, Assigned to Server: 1, Server Current Utilization: 1.09593
Task ID: 494, Assigned to Server: 3, Server Current Utilization: 0.763458
Task ID: 495, Assigned to Server: 3, Server Current Utilization: 0.813749
Task ID: 496, Assigned to Server: 3, Server Current Utilization: 0.855674
Task ID: 497, Assigned to Server: 3, Server Current Utilization: 0.891472
Task ID: 498, Assigned to Server: 2, Server Current Utilization: 0.919328
Task ID: 499, Assigned to Server: 3, Server Current Utilization: 0.930572
Task ID: 500, Assigned to Server: 2, Server Current Utilization: 0.969051
Task ID: 501, Assigned to Server: 3, Server Current Utilization: 0.930121
Task ID: 502, Assigned to Server: 3, Server Current Utilization: 0.964336
Task ID: 503, Assigned to Server: 1, Server Current Utilization: 0.8911
Task ID: 504, Assigned to Server: 2, Server Current Utilization: 0.944211
Task ID: 505, Assigned to Server: 1, Server Current Utilization: 0.864386
Task ID: 506, Assigned to Server: 1, Server Current Utilization: 1.19097
Task ID: 507, Assigned to Server: 3, Server Current Utilization: 0.955128
Task ID: 508, Assigned to Server: 2, Server Current Utilization: 0.832095
Task ID: 509, Assigned to Server: 2, Server Current Utilization: 0.985147
Task ID: 510, Assigned to Server: 1, Server Current Utilization: 0.8935
Task ID: 511, Assigned to Server: 1, Server Current Utilization: 0.997022
Task ID: 512, Assigned to Server: 3, Server Current Utilization: 0.921986
Task ID: 513, Assigned to Server: 3, Server Current Utilization: 0.974247
Task ID: 514, Assigned to Server: 2, Server Current Utilization: 0.998522
Task ID: 515, Assigned to Server: 3, Server Current Utilization: 0.838544
Task ID: 516, Assigned to Server: 3, Server Current Utilization: 0.882353
Task ID: 517, Assigned to Server: 1, Server Current Utilization: 0.718571
Task ID: 518, Assigned to Server: 1, Server Current Utilization: 0.769732
Task ID: 519, Assigned to Server: 1, Server Current Utilization: 0.893218
Task ID: 520, Assigned to Server: 3, Server Current Utilization: 0.794523
Task ID: 521, Assigned to Server: 3, Server Current Utilization: 0.891437
Task ID: 522, Assigned to Server: 2, Server Current Utilization: 0.767651
Task ID: 523, Assigned to Server: 2, Server Current Utilization: 0.912904
Task ID: 524, Assigned to Server: 1, Server Current Utilization: 0.595983
Task ID: 525, Assigned to Server: 1, Server Current Utilization: 0.710941
Task ID: 526, Assigned to Server: 1, Server Current Utilization: 0.83534
Task ID: 527, Assigned to Server: 2, Server Current Utilization: 0.85148
Task ID: 528, Assigned to Server: 3, Server Current Utilization: 0.846673
Task ID: 529, Assigned to Server: 1, Server Current Utilization: 1.52549
Task ID: 530, Assigned to Server: 3, Server Current Utilization: 0.811445
Task ID: 531, Assigned to Server: 3, Server Current Utilization: 0.924491
Task ID: 532, Assigned to Server: 2, Server Current Utilization: 0.783631
Task ID: 533, Assigned to Server: 2, Server Current Utilization: 0.92431
Task ID: 534, Assigned to Server: 2, Server Current Utilization: 0.958797
Task ID: 535, Assigned to Server: 3, Server Current Utilization: 0.930532
Task ID: 536, Assigned to Server: 3, Server Current Utilization: 0.956442
Task ID: 537, Assigned to Server: 3, Server Current Utilization: 1.00662
Task ID: 538, Assigned to Server: 2, Server Current Utilization: 0.8494
Task ID: 539, Assigned to Server: 2, Server Current Utilization: 0.946511
Task ID: 540, Assigned to Server: 2, Server Current Utilization: 0.904111
Task ID: 541, Assigned to Server: 2, Server Current Utilization: 0.986089
Task ID: 542, Assigned to Server: 2, Server Current Utilization: 1.09023
Task ID: 543, Assigned to Server: 3, Server Current Utilization: 0.955397
Task ID: 544, Assigned to Server: 3, Server Current Utilization: 1.00761
Task ID: 546, Assigned to Server: 2, Server Current Utilization: 1.06223
Task ID: 550, Assigned to Server: 1, Server Current Utilization: 0.854034
Task ID: 551, Assigned to Server: 1, Server Current Utilization: 0.939635
Task ID: 552, Assigned to Server: 1, Server Current Utilization: 0.998972
Task ID: 553, Assigned to Server: 3, Server Current Utilization: 0.916878
Task ID: 554, Assigned to Server: 3, Server Current Utilization: 0.972956
Task ID: 555, Assigned to Server: 2, Server Current Utilization: 0.892032
Task ID: 556, Assigned to Server: 2, Server Current Utilization: 0.771073
Task ID: 557, Assigned to Server: 2, Server Current Utilization: 0.840121
Task ID: 558, Assigned to Server: 2, Server Current Utilization: 0.980459
Task ID: 559, Assigned to Server: 1, Server Current Utilization: 0.388894
Task ID: 560, Assigned to Server: 1, Server Current Utilization: 0.51958
Task ID: 561, Assigned to Server: 1, Server Current Utilization: 0.946208
Task ID: 562, Assigned to Server: 3, Server Current Utilization: 0.942252
Task ID: 563, Assigned to Server: 3, Server Current Utilization: 0.935595
Task ID: 564, Assigned to Server: 3, Server Current Utilization: 0.990182
Task ID: 565, Assigned to Server: 2, Server Current Utilization: 0.954036
Task ID: 566, Assigned to Server: 1, Server Current Utilization: 0.932255
Task ID: 567, Assigned to Server: 1, Server Current Utilization: 1.253
Task ID: 568, Assigned to Server: 2, Server Current Utilization: 0.896478
Task ID: 569, Assigned to Server: 2, Server Current Utilization: 0.984643
Task ID: 570, Assigned to Server: 3, Server Current Utilization: 0.963589
Task ID: 571, Assigned to Server: 3, Server Current Utilization: 1.00201
Task ID: 572, Assigned to Server: 2, Server Current Utilization: 1.0876
Task ID: 576, Assigned to Server: 1, Server Current Utilization: 0.603056
Task ID: 577, Assigned to Server: 1, Server Current Utilization: 0.692506
Task ID: 578, Assigned to Server: 1, Server Current Utilization: 0.78379
Task ID: 579, Assigned to Server: 1, Server Current Utilization: 0.731632
Task ID: 580, Assigned to Server: 1, Server Current Utilization: 0.866428
Task ID: 581, Assigned to Server: 3, Server Current Utilization: 0.846538
Task ID: 582, Assigned to Server: 3, Server Current Utilization: 0.844556
Task ID: 583, Assigned to Server: 2, Server Current Utilization: 0.707943
Task ID: 584, Assigned to Server: 2, Server Current Utilization: 0.79824
Task ID: 585, Assigned to Server: 2, Server Current Utilization: 0.832007
Task ID: 586, Assigned to Server: 1, Server Current Utilization: 0.495038
Task ID: 587, Assigned to Server: 1, Server Current Utilization: 0.586026
Task ID: 588, Assigned to Server: 1, Server Current Utilization: 0.664571
Task ID: 589, Assigned to Server: 1, Server Current Utilization: 0.694755
Task ID: 590, Assigned to Server: 1, Server Current Utilization: 0.796792
Task ID: 591, Assigned to Server: 3, Server Current Utilization: 0.717829
Task ID: 592, Assigned to Server: 2, Server Current Utilization: 0.733686
Task ID: 593, Assigned to Server: 3, Server Current Utilization: 0.82032
Task ID: 594, Assigned to Server: 2, Server Current Utilization: 0.788715
Task ID: 595, Assigned to Server: 1, Server Current Utilization: 1.15427
Task ID: 596, Assigned to Server: 2, Server Current Utilization: 0.95115
Task ID: 597, Assigned to Server: 3, Server Current Utilization: 0.769221
Task ID: 598, Assigned to Server: 3, Server Current Utilization: 0.886355
Task ID: 599, Assigned to Server: 3, Server Current Utilization: 0.900412
Task ID: 600, Assigned to Server: 3, Server Current Utilization: 0.940526
Task ID: 601, Assigned to Server: 3, Server Current Utilization: 1.094
Task ID: 602, Assigned to Server: 2, Server Current Utilization: 0.821716
Task ID: 603, Assigned to Server: 2, Server Current Utilization: 0.918433
Task ID: 604, Assigned to Server: 2, Server Current Utilization: 1.14262
Task ID: 605, Assigned to Server: 1, Server Current Utilization: 1.20642
Task ID: 612, Assigned to Server: 2, Server Current Utilization: 0.997138
Task ID: 613, Assigned to Server: 3, Server Current Utilization: 0.942501
Task ID: 614, Assigned to Server: 3, Server Current Utilization: 0.977477
Task ID: 615, Assigned to Server: 3, Server Current Utilization: 0.981178
Task ID: 616, Assigned to Server: 3, Server Current Utilization: 1.0309
Task ID: 617, Assigned to Server: 2, Server Current Utilization: 1.07197
Task ID: 618, Assigned to Server: 1, Server Current Utilization: 0.472039
Task ID: 619, Assigned to Server: 1, Server Current Utilization: 0.657086
Task ID: 620, Assigned to Server: 1, Server Current Utilization: 1.21651
Task ID: 622, Assigned to Server: 2, Server Current Utilization: 0.898665
Task ID: 623, Assigned to Server: 2, Server Current Utilization: 0.991558
Task ID: 624, Assigned to Server: 3, Server Current Utilization: 0.994823
Task ID: 625, Assigned to Server: 1, Server Current Utilization: 0.816029
Task ID: 626, Assigned to Server: 1, Server Current Utilization: 0.899933
Task ID: 627, Assigned to Server: 1, Server Current Utilization: 1.04946
Task ID: 628, Assigned to Server: 2, Server Current Utilization: 0.806037
Task ID: 629, Assigned to Server: 2, Server Current Utilization: 0.853763
Task ID: 630, Assigned to Server: 2, Server Current Utilization: 0.951747
Task ID: 631, Assigned to Server: 1, Server Current Utilization: 0.582775
Task ID: 632, Assigned to Server: 1, Server Current Utilization: 0.67521
Task ID: 633, Assigned to Server: 1, Server Current Utilization: 0.962894
Task ID: 634, Assigned to Server: 3, Server Current Utilization: 1.03103
Task ID: 635, Assigned to Server: 2, Server Current Utilization: 0.79956
Task ID: 636, Assigned to Server: 2, Server Current Utilization: 0.848596
Task ID: 637, Assigned to Server: 2, Server Current Utilization: 0.91375
Task ID: 638, Assigned to Server: 2, Server Current Utilization: 0.829209
Task ID: 639, Assigned to Server: 2, Server Current Utilization: 0.889546
Task ID: 640, Assigned to Server: 2, Server Current Utilization: 1.05848
Task ID: 641, Assigned to Server: 3, Server Current Utilization: 0.873018
Task ID: 642, Assigned to Server: 3, Server Current Utilization: 0.899636
Task ID: 643, Assigned to Server: 1, Server Current Utilization: 0.867203
Task ID: 644, Assigned to Server: 1, Server Current Utilization: 1.38045
Task ID: 645, Assigned to Server: 3, Server Current Utilization: 0.930618
Task ID: 646, Assigned to Server: 3, Server Current Utilization: 1.03529
Task ID: 647, Assigned to Server: 2, Server Current Utilization: 1.06642
Task ID: 651, Assigned to Server: 1, Server Current Utilization: 1.01254
Task ID: 652, Assigned to Server: 3, Server Current Utilization: 0.988306
Task ID: 653, Assigned to Server: 2, Server Current Utilization: 0.99923
Task ID: 654, Assigned to Server: 3, Server Current Utilization: 0.860284
Task ID: 655, Assigned to Server: 3, Server Current Utilization: 0.927363
Task ID: 656, Assigned to Server: 3, Server Current Utilization: 0.969376
Task ID: 657, Assigned to Server: 3, Server Current Utilization: 1.00442
Task ID: 658, Assigned to Server: 1, Server Current Utilization: 1.07568
Task ID: 659, Assigned to Server: 2, Server Current Utilization: 0.956888
Task ID: 660, Assigned to Server: 2, Server Current Utilization: 0.991182
Task ID: 661, Assigned to Server: 3, Server Current Utilization: 0.956687
Task ID: 662, Assigned to Server: 3, Server Current Utilization: 1.03807
Task ID: 663, Assigned to Server: 2, Server Current Utilization: 0.89826
Task ID: 664, Assigned to Server: 1, Server Current Utilization: 0.47082
Task ID: 665, Assigned to Server: 1, Server Current Utilization: 0.604631
Task ID: 666, Assigned to Server: 1, Server Current Utilization: 0.66019
Task ID: 667, Assigned to Server: 1, Server Current Utilization: 0.353803
Task ID: 668, Assigned to Server: 1, Server Current Utilization: 0.580471
Task ID: 669, Assigned to Server: 1, Server Current Utilization: 0.956461
Task ID: 670, Assigned to Server: 2, Server Current Utilization: 0.836373
Task ID: 671, Assigned to Server: 2, Server Current Utilization: 0.821733
Task ID: 672, Assigned to Server: 2, Server Current Utilization: 0.94122
Task ID: 673, Assigned to Server: 3, Server Current Utilization: 0.892109
Task ID: 674, Assigned to Server: 3, Server Current Utilization: 0.888906
Task ID: 675, Assigned to Server: 3, Server Current Utilization: 1.04564
Task ID: 676, Assigned to Server: 1, Server Current Utilization: 0.833879
Task ID: 677, Assigned to Server: 1, Server Current Utilization: 1.07557
Task ID: 678, Assigned to Server: 2, Server Current Utilization: 0.841072
Task ID: 679, Assigned to Server: 2, Server Current Utilization: 0.888515
Task ID: 680, Assigned to Server: 2, Server Current Utilization: 0.944144
Task ID: 681, Assigned to Server: 2, Server Current Utilization: 0.98681
Task ID: 682, Assigned to Server: 2, Server Current Utilization: 1.1082
Task ID: 683, Assigned to Server: 3, Server Current Utilization: 1.04386
Task ID: 684, Assigned to Server: 1, Server Current Utilization: 0.868932
Task ID: 685, Assigned to Server: 1, Server Current Utilization: 1.04967
Task ID: 687, Assigned to Server: 3, Server Current Utilization: 0.839645
Task ID: 688, Assigned to Server: 3, Server Current Utilization: 0.874728
Task ID: 689, Assigned to Server: 3, Server Current Utilization: 0.899999
Task ID: 690, Assigned to Server: 1, Server Current Utilization: 1.03952
Task ID: 691, Assigned to Server: 2, Server Current Utilization: 0.896711
Task ID: 692, Assigned to Server: 2, Server Current Utilization: 0.959088
Task ID: 693, Assigned to Server: 3, Server Current Utilization: 0.845069
Task ID: 694, Assigned to Server: 3, Server Current Utilization: 0.907952
Task ID: 695, Assigned to Server: 3, Server Current Utilization: 0.970624
Task ID: 696, Assigned to Server: 2, Server Current Utilization: 0.9853
Task ID: 697, Assigned to Server: 1, Server Current Utilization: 0.735968
Task ID: 698, Assigned to Server: 1, Server Current Utilization: 0.819554
Task ID: 699, Assigned to Server: 1, Server Current Utilization: 1.17157
Task ID: 700, Assigned to Server: 3, Server Current Utilization: 0.899986
Task ID: 701, Assigned to Server: 3, Server Current Utilization: 0.943416
Task ID: 702, Assigned to Server: 2, Server Current Utilization: 0.93627
Task ID: 703, Assigned to Server: 2, Server Current Utilization: 0.852861
Task ID: 704, Assigned to Server: 2, Server Current Utilization: 0.926775
Task ID: 705, Assigned to Server: 2, Server Current Utilization: 0.997534
Task ID: 706, Assigned to Server: 3, Server Current Utilization: 1.06664
Task ID: 707, Assigned to Server: 1, Server Current Utilization: 0.554437
Task ID: 708, Assigned to Server: 1, Server Current Utilization: 0.616205
Task ID: 709, Assigned to Server: 1, Server Current Utilization: 0.736639
Task ID: 710, Assigned to Server: 1, Server Current Utilization: 0.723468
Task ID: 711, Assigned to Server: 1, Server Current Utilization: 0.777122
Task ID: 712, Assigned to Server: 1, Server Current Utilization: 0.954542
Task ID: 713, Assigned to Server: 2, Server Current Utilization: 0.83735
Task ID: 714, Assigned to Server: 2, Server Current Utilization: 0.892256
Task ID: 715, Assigned to Server: 2, Server Current Utilization: 0.93957
Task ID: 716, Assigned to Server: 1, Server Current Utilization: 0.552746
Task ID: 717, Assigned to Server: 1, Server Current Utilization: 0.696849
Task ID: 718, Assigned to Server: 1, Server Current Utilization: 1.09245
Task ID: 719, Assigned to Server: 3, Server Current Utilization: 0.825367
Task ID: 720, Assigned to Server: 2, Server Current Utilization: 0.656687
Task ID: 721, Assigned to Server: 2, Server Current Utilization: 0.695777
Task ID: 722, Assigned to Server: 2, Server Current Utilization: 0.833583
Task ID: 723, Assigned to Server: 3, Server Current Utilization: 0.674865
Task ID: 724, Assigned to Server: 3, Server Current Utilization: 0.729665
Task ID: 725, Assigned to Server: 3, Server Current Utilization: 0.75832
Task ID: 726, Assigned to Server: 3, Server Current Utilization: 0.741519
Task ID: 727, Assigned to Server: 3, Server Current Utilization: 0.802234
Task ID: 728, Assigned to Server: 2, Server Current Utilization: 0.821251
Task ID: 729, Assigned to Server: 3, Server Current Utilization: 0.802166
Task ID: 730, Assigned to Server: 3, Server Current Utilization: 0.837811
Task ID: 731, Assigned to Server: 2, Server Current Utilization: 0.75341
Task ID: 732, Assigned to Server: 2, Server Current Utilization: 0.809538
Task ID: 733, Assigned to Server: 1, Server Current Utilization: 0.721876
Task ID: 734, Assigned to Server: 1, Server Current Utilization: 0.913802
Task ID: 735, Assigned to Server: 2, Server Current Utilization: 0.821757
Task ID: 736, Assigned to Server: 3, Server Current Utilization: 0.837682
Task ID: 737, Assigned to Server: 2, Server Current Utilization: 0.825964
Task ID: 738, Assigned to Server: 2, Server Current Utilization: 0.903204
Task ID: 739, Assigned to Server: 3, Server Current Utilization: 0.835909
Task ID: 740, Assigned to Server: 3, Server Current Utilization: 0.930071
Task ID: 741, Assigned to Server: 1, Server Current Utilization: 0.918574
Task ID: 742, Assigned to Server: 2, Server Current Utilization: 0.819055
Task ID: 743, Assigned to Server: 2, Server Current Utilization: 0.922579
Task ID: 744, Assigned to Server: 1, Server Current Utilization: 0.91895
Task ID: 745, Assigned to Server: 1, Server Current Utilization: 1.16271
Task ID: 746, Assigned to Server: 3, Server Current Utilization: 0.891832
Task ID: 747, Assigned to Server: 3, Server Current Utilization: 0.995839
Task ID: 748, Assigned to Server: 2, Server Current Utilization: 0.897124
Task ID: 749, Assigned to Server: 2, Server Current Utilization: 0.922789
Task ID: 750, Assigned to Server: 2, Server Current Utilization: 0.979128
Task ID: 751, Assigned to Server: 2, Server Current Utilization: 1.01264
Task ID: 752, Assigned to Server: 1, Server Current Utilization: 0.807665
Task ID: 753, Assigned to Server: 1, Server Current Utilization: 0.896867
Task ID: 754, Assigned to Server: 1, Server Current Utilization: 1.15689
Task ID: 755, Assigned to Server: 3, Server Current Utilization: 0.765951
Task ID: 756, Assigned to Server: 3, Server Current Utilization: 0.900321
Task ID: 757, Assigned to Server: 3, Server Current Utilization: 0.929753
Task ID: 758, Assigned to Server: 3, Server Current Utilization: 1.00594
Task ID: 759, Assigned to Server: 1, Server Current Utilization: 0.689578
Task ID: 760, Assigned to Server: 1, Server Current Utilization: 1.03943
Task ID: 761, Assigned to Server: 2, Server Current Utilization: 0.987343
Task ID: 762, Assigned to Server: 3, Server Current Utilization: 0.899614
Task ID: 763, Assigned to Server: 3, Server Current Utilization: 0.935054
Task ID: 764, Assigned to Server: 3, Server Current Utilization: 0.991897
Task ID: 765, Assigned to Server: 2, Server Current Utilization: 0.873259
Task ID: 766, Assigned to Server: 1, Server Current Utilization: 0.99569
Task ID: 767, Assigned to Server: 2, Server Current Utilization: 0.973441
Task ID: 768, Assigned to Server: 3, Server Current Utilization: 0.966634
Task ID: 769, Assigned to Server: 3, Server Current Utilization: 1.04404
Task ID: 770, Assigned to Server: 2, Server Current Utilization: 1.03769
Task ID: 771, Assigned to Server: 1, Server Current Utilization: 0.924656
Task ID: 772, Assigned to Server: 1, Server Current Utilization: 0.831554
Task ID: 773, Assigned to Server: 1, Server Current Utilization: 1.02793
Task ID: 775, Assigned to Server: 2, Server Current Utilization: 1.02596
Task ID: 776, Assigned to Server: 3, Server Current Utilization: 0.987472
Task ID: 777, Assigned to Server: 3, Server Current Utilization: 1.01453
Task ID: 778, Assigned to Server: 1, Server Current Utilization: 0.542506
Task ID: 779, Assigned to Server: 1, Server Current Utilization: 0.697127
Task ID: 780, Assigned to Server: 1, Server Current Utilization: 0.963642
Task ID: 781, Assigned to Server: 1, Server Current Utilization: 1.00247
Task ID: 782, Assigned to Server: 3, Server Current Utilization: 0.953693
Task ID: 783, Assigned to Server: 3, Server Current Utilization: 1.00947
Task ID: 784, Assigned to Server: 2, Server Current Utilization: 0.972147
Task ID: 785, Assigned to Server: 2, Server Current Utilization: 1.05277
Task ID: 788, Assigned to Server: 1, Server Current Utilization: 0.791618
Task ID: 789, Assigned to Server: 1, Server Current Utilization: 0.860616
Task ID: 790, Assigned to Server: 1, Server Current Utilization: 1.1005
Task ID: 791, Assigned to Server: 3, Server Current Utilization: 0.864805
Task ID: 792, Assigned to Server: 3, Server Current Utilization: 0.906542
Task ID: 793, Assigned to Server: 3, Server Current Utilization: 0.956655
Task ID: 794, Assigned to Server: 2, Server Current Utilization: 0.982795
Task ID: 795, Assigned to Server: 3, Server Current Utilization: 0.949265
Task ID: 796, Assigned to Server: 3, Server Current Utilization: 1.08398
Task ID: 797, Assigned to Server: 2, Server Current Utilization: 0.940793
Task ID: 798, Assigned to Server: 1, Server Current Utilization: 0.749368
Task ID: 799, Assigned to Server: 1, Server Current Utilization: 0.816321
Task ID: 800, Assigned to Server: 1, Server Current Utilization: 0.89808
Task ID: 801, Assigned to Server: 2, Server Current Utilization: 0.908861
Task ID: 802, Assigned to Server: 1, Server Current Utilization: 0.893152
Task ID: 803, Assigned to Server: 1, Server Current Utilization: 1.04887
Task ID: 804, Assigned to Server: 3, Server Current Utilization: 0.981281
Task ID: 805, Assigned to Server: 2, Server Current Utilization: 0.914862
Task ID: 806, Assigned to Server: 2, Server Current Utilization: 0.948366
Task ID: 807, Assigned to Server: 2, Server Current Utilization: 0.997307
Task ID: 808, Assigned to Server: 3, Server Current Utilization: 0.959044
Task ID: 809, Assigned to Server: 3, Server Current Utilization: 1.01522
Task ID: 810, Assigned to Server: 1, Server Current Utilization: 0.973055
Task ID: 811, Assigned to Server: 2, Server Current Utilization: 0.863603
Task ID: 812, Assigned to Server: 2, Server Current Utilization: 0.897696
Task ID: 813, Assigned to Server: 2, Server Current Utilization: 0.9397
Task ID: 814, Assigned to Server: 1, Server Current Utilization: 0.734395
Task ID: 815, Assigned to Server: 1, Server Current Utilization: 0.79668
Task ID: 816, Assigned to Server: 1, Server Current Utilization: 1.52093
Task ID: 817, Assigned to Server: 2, Server Current Utilization: 0.780628
Task ID: 818, Assigned to Server: 2, Server Current Utilization: 0.83168
Task ID: 819, Assigned to Server: 2, Server Current Utilization: 0.868101
Task ID: 820, Assigned to Server: 2, Server Current Utilization: 0.909634
Task ID: 821, Assigned to Server: 3, Server Current Utilization: 0.930909
Task ID: 822, Assigned to Server: 2, Server Current Utilization: 0.981956
Task ID: 823, Assigned to Server: 3, Server Current Utilization: 0.961377
Task ID: 824, Assigned to Server: 3, Server Current Utilization: 0.943388
Task ID: 825, Assigned to Server: 3, Server Current Utilization: 1.0005
Task ID: 826, Assigned to Server: 2, Server Current Utilization: 0.943842
Task ID: 827, Assigned to Server: 2, Server Current Utilization: 0.997039
Task ID: 828, Assigned to Server: 2, Server Current Utilization: 1.12618
Task ID: 830, Assigned to Server: 3, Server Current Utilization: 0.962676
Task ID: 831, Assigned to Server: 3, Server Current Utilization: 1.04592
Task ID: 832, Assigned to Server: 1, Server Current Utilization: 1.15068
Task ID: 840, Assigned to Server: 2, Server Current Utilization: 1.06253
Task ID: 841, Assigned to Server: 1, Server Current Utilization: 0.283078
Task ID: 842, Assigned to Server: 1, Server Current Utilization: 0.426251
Task ID: 843, Assigned to Server: 1, Server Current Utilization: 0.603023
Task ID: 844, Assigned to Server: 1, Server Current Utilization: 0.857919
Task ID: 845, Assigned to Server: 1, Server Current Utilization: 0.990098
Task ID: 846, Assigned to Server: 3, Server Current Utilization: 0.883654
Task ID: 847, Assigned to Server: 3, Server Current Utilization: 0.864384
Task ID: 848, Assigned to Server: 3, Server Current Utilization: 0.906682
Task ID: 849, Assigned to Server: 3, Server Current Utilization: 0.972317
Task ID: 850, Assigned to Server: 1, Server Current Utilization: 0.999961
Task ID: 851, Assigned to Server: 2, Server Current Utilization: 0.953231
Task ID: 852, Assigned to Server: 2, Server Current Utilization: 1.02705
Task ID: 853, Assigned to Server: 3, Server Current Utilization: 0.771251
Task ID: 854, Assigned to Server: 3, Server Current Utilization: 0.969449
Task ID: 855, Assigned to Server: 3, Server Current Utilization: 1.02163
Task ID: 856, Assigned to Server: 1, Server Current Utilization: 0.939017
Task ID: 857, Assigned to Server: 1, Server Current Utilization: 0.933619
Task ID: 858, Assigned to Server: 1, Server Current Utilization: 1.16289
Task ID: 859, Assigned to Server: 2, Server Current Utilization: 1.12847
Task ID: 860, Assigned to Server: 3, Server Current Utilization: 0.907197
